"<empty_1>","Word","Example","Class"
586,"get off","to ejaculate.",2
587,"get off","to be really excited about something",2
588,"get off","1. To orgasm. ;; 2. To enjoy tremendously. (Typically ~ on.)",2
589,"Gurpin","1)The state of mind where one loses himself 2) to trip like a bitch 3) to spaz out",2
590,"WD55","An acronym for Windows Down 55 miles an hour. A primitive form of air condition most helpful to 60's and 70's Volkswagen Bug pilots",2
591,"pissed","Drunk. Very drunk.",2
592,"Dislexus","A luxury car for those who signal left, and turn right.",2
593,"Goteam","Getting some. Any type of interaction of the opposite sex.",2
594,"carpet licker","An indivdual who performs oral sex on a female with a hariy vagina. Related Terms: [Carpet Bombing] [cunnilingus]",2
595,"absofuckinlutely","Confirming that a factual chunk of information is undeniably, and indisputably true.",2
596,"bever","Short for beverage",2
597,"blue balls","The aching of testicles brought about by partial sexual deprivation or lack of [poontang].",2
598,"cock block","Something that keeps you from getting action.",2
599,"S.O.","Abbreviation for 'Significant Other'. The gender-neutral way to refer to someone's boy/girlfriend.",2
600,"drop the kids off at the pool","taking a dump, pooping...",2
601,"shotgun","As in smoking herbal substance; to inhale from a pipe or other smoking device, followed shortly by an exhalation into someone else's mouth. This term was developed by troops in Vietnam, who actually would put a marijuana cigarette into the open chamber of an unloaded shotgun and blow it into eachother's faces. An example of this can be seen in the movie 'Platoon'.",2
602,"skitzing","to go crazy or utterly insane due to stress or another incident. Next step up from [tripping]; implying skitzophrenia.",2
603,"Poontang","a clearer definition would be vagina, however, the word also is a bastardized version of a French word implying 'hooker'. Refers to 'gettin' laid'",2
604,"fuckin' A","1. A multi-use term for many situations. Usually declared when a situation is screwed up ironically, or when no other explanation can be found. ;; 2. short for gone Fucking AWOL (absolutely without leave) a military slang term for someone who went crazy and attempted to escape duties",2
605,"the 101","a 200 mile long parking lot in California that was once considered a route through which vehicles moved.",2
606,"nerd box","The study room in a dormitory or living complex. Nerds go to the nerd box to study; non-nerds go to the nerd box to pretend that they are nerds.",2
607,"bling bling","n. [Cash money]. [Scrilla]. [Dough]. Legal tender.",2
608,"Name Dropper","One who uses full names, that is first and last when explaining a situation in hopes to impress one's audience.",2
609,"hoodie","n. A hooded sweatshirt. Some hoodies have zippers, but most do not. ;; Not to be confused with [oodee].",2
610,"Hoodie Theory","The hypothesis that men automatically become more attractive when wearing a [hoodie].",2
611,"fo sho","For sure or of course",2
612,"audi","usually preceded with 'I'm' or 'We're'. Denotes the leaving of a place",2
613,"one time","police",2
614,"fuckin' A","An emphatic agreement.",2
615,"put it to bed","to take care of something.",2
616,"near tears","a feeling of rapture",2
617,"peachy keen","whne something is going well",2
618,"superpope","of extremely high quality",2
619,"nippley","adj. Chilly; cold enough to make the nipples stand at attention.",2
620,"veto","To summarily dismiss a suggestion of something to do/eat/listen to/etc. Ususally used when the suggestion is distateful to the vetoer.",2
621,"foolio","variation of [fool].",2
622,"grub","food",2
623,"grubbin'","when a certain food or beverage has an amazing taste",2
624,"b-ball","The game of basketball",2
625,"b-ball","the ball which is used in the game of basketball",2
626,"grubbin'","the act of eating [grub]",2
627,"props","giving proper respect to an individual or group",2
628,"dark times","Synonymous with [bad times]. Heard during the first Harry Potter movie",2
629,"oh shit handle","the handle in most cars. Commonly known for hanging laundered garments. Also known for its use in grabbing upon during sharp turns or braking.",2
630,"cum","1. n. Semen ;; 2. v. To orgasm ;; Usage Note: the word is spelled with a 'u' to differentiate it from 'come,' which has a... cleaner definition.",2
631,"spooge","1. n. Male ejaculate; [cum] ;; 2. v. To ejaculate; [cum] ;; 3. v. To become intensely excited about something.",2
632,"key","integral, very important, required",2
633,"Fatty","Butt, Ass, Booty",2
634,"smoke a pole","give head",2
635,"dark times","The hours after sunset and before dawn. Speficically, those hours when you're awake and don't want to be.",2
636,"headlights on","When a woman isn't wearing a bra.",2
637,"old school","Influential rap artist, song, or style from the time period of the begining of the rap culture in America",2
638,"suckus","Abbreviation of 'sucks ass.' When something really, really bites.",2
639,"head","Oral sex. Gender neutral.",2
640,"chuffed","To be quite proud of ones self.",2
641,"Fatty","A blunt",2
642,"big facin'","Making money, so much its only hundreds.",2
643,"blow up","to inundate a device with messages",2
644,"thwop","1. n. The sound mashed potatoes make while being served. ;; 2. v. To serve mashed potatoes, creating a 'thwop'ing sound.",2
645,"second feeding","Dinner after dinner. The second round of eating following the feast on Thanksgiving Day.",2
646,"scandalous","Full of scandal, often in reference to something overtly sexual; or at least construed as such.",2
647,"bacchanalia","a drunken orgy.",2
648,"phallic","of, or pretaining to the penis.",2
649,"the bird","the unfortunate turkey to be eaten at a traditional feast such as Thanksgiving or Christmas",2
650,"hotansawa soup","the bastardized pronunciation of the delectable hot and sour soup.",2
651,"the book","the urban dictionary",2
652,"pee pee","baby speak for urination",2
653,"baby-speak","the act of post-pubescent individuals speaking like a toddler.",2
654,"Chuff Monkey!","Generally a friendly derisive expletive.",2
655,"Knob Jockey","Someone who likes riding the old pink pogo stick.",2
656,"Chunt","A more polite way of saying c**t. Girls are genrally more acepting when they hear this version.",2
657,"Quim","Female genitalia.",2
658,"Spam Javelin","Male genitalia/cock",2
659,"Flange/flanging","To insert ones middle finger up a womans' and thumb up her vagina and gently press the two together through the fleshy wall.",2
660,"Spam Hatch","Female genitalia",2
661,"the bird","The middle finger when used as a salute.",2
662,"jump on it","do something immediately",2
663,"dope","marijuana",2
664,"peace pipe","Any pipe used to smoke marijana",2
665,"buzzed","an effect encountered after smoking various plants or drinking various alcoholic drinks",2
666,"light-weight","one who can only handle small amounts of various drugs",2
667,"doobie","synonymous with [joint]. Popular in the 60's and early 70's.",2
668,"Blass","Blow(s) Ass",2
669,"Gerkin","Used as a another name for penis to rhyme with jerking.",2
670,"Foodog","Someone's who's very into spirituality",2
671,"Uni-Ball","1.A person with one ball.",2
672,"aie","panic",2
673,"nekked","naked",2
674,"stylin'","stylish",2
675,"workee","work",2
676,"Mack Daddy","ultra pimp",2
677,"mac","see [mack]",2
678,"mac daddy","see [mack daddy]",2
679,"pimp","one who brokers the sexual favors of women for profits",2
680,"token black","a black male or female used by major media to create the illusion of diversity",2
681,"left nut","the position of a passenger in the back seat of a vehicle directly behind the driver",2
682,"right nut","the position of a passenger in the back seat of a vehicle, directly behind the person in [shotgun] position",2
683,"just-got-fucked hair","noun hair that is in crazy disarray. and they didn't necessarily even get any [play]. They just have that look to them.",2
684,"play","noun some form of physical sexual action. generally found used in combo with the word 'get'.",2
685,"cock block","to prevent a friend from hooking up with someone, maybe because she's too drunk or perhaps because he is supa [busted]. it could be the other way around too.",2
686,"Ownage","To be a pimp and to own.",2
687,"do you","Do what you feel is best for you, in short, do you.",2
688,"coucher","It's the guy or chick that gets so bombed after a party he or she sleeps on your couch and when you wake up, that person's still there even though you didnt ask them to stay.",2
689,"unbeweavable","When a weave goes so bad, it's beyond astonishment.",2
690,"the rag","the menstrual cycle of a woman.",2
691,"Lan Kwai Fong","infamous bar district of Hong Kong, known commonly as a drinking ghetto for pretentious foreigners and expats",2
692,"rack","set of breasts",2
693,"ability","the quality of being able to do something. attach it to the end of any verb to make up new words!",2
694,"CRS","'Can't Remember Shit'. Popularized by the movie Glory Daze.",2
695,"skin flute","playing the skin flute is giving oral sex to a male",2
696,"scratch","cash money!!",2
697,"yatta","Equivalent to saying 'I did it!' after accomplishing a hard task.",2
698,"rack","place to sleep",2
699,"snow","the black and white display of a t.v. when there is no reception",2
700,"my boys","A term of endearment for ones favorite sports team (excluding WNBA).",2
701,"I feel you","syn. 'I understand where you're coming from.'",2
702,"in","To have an abundance of something, especially something that is usually scarce.",2
703,"badness","Something which is not positive. Typically refers to a situation or the actions of one or more people.",2
704,"my boys","A term of endearment for one's genitals.",2
705,"chick","n. A girl. ;; Chick is not necessarily derogatory, however many women find it offensive because of its flippant nature.",2
706,"biff","v. To mess something up, specifically a physical activity.",2
707,"turd cutter","n. [Ass], [Booty], behind. ;; From the movie 'Glory Daze'.",2
708,"cop out","n. An excuse designed to shirk responsibility.",2
709,"present haunches","v. A command to raise one's rear in preparation for entry.",2
710,"pop punk","n. Music which is pesudo-punk. It's got the loud guitars, it's got just enough of the 'I'm angry' vibe to still be interesting to today's youth. But it's way too polished and lacks the substance of true punk.",2
711,"0.3","poop",2
712,"Pop Rocks","A band that has went from being cool to a teeny bopper band. Hard rock turned to catchy toons that little girls and their moms can sing to together in the car.",2
713,"ButtHurt","getting your feelings hurt, or getting all bent out of shape.",2
714,"Shibby!","a word to discribe any great moment. its like saying Awesome,Great,Nice!,Sweat.it can be used in place of any positive word.",2
715,"woohoo an shit","a sarcastic way of saying big fucking deal. no biggie.",2
716,"Vin","Vicodin Pills. Refrence from the real slim shady 'vicodin vicodin vin vin vin'",2
717,"V&L","Short for Vodka and Lemonade.",2
718,"guzzler","a slutty female. she gives alot of head.",2
719,"SnowBall","Kissing after oral sex",2
720,"Sac","A single unit or pouch containing a narcotic most likley marijuana. Ususally priced at $5, so if you pay more you got gipped",2
721,"get it on","a euphemism for sex, popularized by Marvin Gaye in his classic 'Let's Get It On'",2
722,"hoodie","n. condom or jimmy cap",2
723,"Dord","just another word for a dork or someone who just acts stupid sometimes and laughs at thier own jokes.",2
724,"gank","To steal or take something that does not belong to you.",2
725,"Lift","to steal; see [gank].",2
726,"gaydar","The ability/gift of being able to detect homosexuality in other people.",2
727,"weirdo-meter","a conceptual meter used to judge the weirdness of an individual. If the individual is extremely weird, the weirdo-meter will be high. Conversely, if a person exhibits minute amounts of weirdness, the meter will have a low reading",2
728,"solid","see above. Also seen (before?) in the t.v. sitcom Seinfeld.",2
729,"frenetic","wildly excited or active",2
730,"get it on","get something started",2
731,"just-got-fucked hair","this can also be called sex hair.",2
732,"Tweaknut","A person who is a freaking spaz.",2
733,"Absolute","a phrase used when talking about anarcy or when something is going to be out of control.",2
734,"Absolute","it is also an agreeing word. responding with this word can mean your agreeing.",2
735,"Hi Mom!","when you happen to have your live image broadcast on television, this is what you should say. equivalent to '[big ups] to mom!'",2
736,"big ups","lots of [props]. sent through a messenger, such as the radio or a friend",2
737,"gangsta","Shifty, underhanded, like the actions of a gangster.",2
738,"transput","The combination of input and output, as in a person's interaction with a computer.",2
739,"bizznatch","large, annoying and ugly. Frequently used as an insult.",2
740,"com-mitment","given a commitmentring",2
741,"grimy","See [gully]",2
742,"dong","A filthy cuss name for the male genitalia.",2
743,"drugfiend","One who acts so cool that they are believed to be on drugs all the time",2
744,"sex","A painful activity in which a man, using the stiffest and pointiest part of his pelvic region, repeatedly stabs a female in her crotch until he feels satisfied. Can also take place between two men, in which one male stabs the other in the bum. Lesbian 'sex' may be fun and all, but it aint real sex unless there is some sort of stabbling going on, perhaps with a cleverly shaped hand or steel dildo.",2
745,"AMF","Adios Mother Fucker's",2
746,"piece","n. Short for 'piece of shit'.",2
747,"quarter water","Those little 25 cent drinks youi get at the bodega you used to drink when you were a kid.",2
748,"half-woke","When you somebody wakes you up and you know you ain't had enough sleep yet cause everything is all blurry and stuff doesn't make sense yet.",2
749,"bombed","drunk off ya ass",2
750,"wasted","see [word] bombed",2
751,"rear ended","sodomy, usually very unpleasant.",2
752,"hold up","wait a minute! postpone your plans, there's something that must be addressed immediately",2
753,"TB","tuberculosis. what you get when you get food at [TB].",2
754,"TB","taco bell; ubiquitous nasty[-ass] food joint",2
755,"all about","made up of something ;; constrast with 'not all about' - devoid of something",2
756,"evil","intj. Said when something you don't like happens or is mentioned.",2
757,"slobbernock","to hit really hard.",2
758,"scoop","v. To get to something before someone else. Comes from the news business.",2
759,"IM","n. An instant message. IM does not imply the use of either [AIM] or [ICQ]. ;; v. To send someone an instant message.",2
760,"jacked","v. 1. To be messed up. Usually used with 'up'. ;; 2. To get the short end of the proverbial stick.",2
761,"log hound","one who watches computer logs very obsessively",2
762,"sloshed","syn. [bombed], [pissed]",2
763,"poop","party pooper, a cop out,",2
764,"Rammed","packed, full, a lot of people, crowded",2
765,"inthehood","uncut penis, not circumsized",2
766,"badow","intj. 'There it is!' or 'Ta da!' ;; Can also be used as an introduction synonymous with 'here I am'.",2
767,"biznit","A punk, a bitch, a person that is bothersome",2
768,"WPP","Well-Produced Production. ;; Antonym of [PPP].",2
769,"bizzle","A homie, a brotha, a friend, someone you know",2
770,"Dreadford","A very boring small town in southern Oregon. Usually referred to as Medford but has also been called Deadford, Boregon.",2
771,"geil","Literally, horny. Used as a slang word in Germany to express when something is extremely good.",2
772,"My nigga","your partner through think and thin. someone who will always help you out, no matter the situation.",2
773,"clean","describing an item that looks really nice.",2
774,"bling bling","really fancy jewelery(chains,rings)",2
775,"Boons","boons are grassy lands like rural areas or the suburbs.",2
776,"more better","something that is better",2
777,"swamp donkey","a girl that's [fugly]",2
778,"boogawoof","a girl that's [fugly]",2
779,"cake","an easy and/or enjoyable task",2
780,"lurch","verb: to vomit",2
781,"grimy","yucky, gross or dirty",2
782,"piece","your girlfriend or boyfriend",2
783,"jacked","stole",2
784,"running pockets","pickpocketing",2
785,"vault","n. The place you put other people's secrets.",2
786,"ralph","v. To throw up; [lurch]",2
787,"queaf","n. The release of air from the vagina; a pussy-fart.",2
788,"twisted","1. mixed up, confused ;; 2. carzy, wild",2
789,"point","Short for 'point taken.' An admission that someone has made a valid statement, despite the fact that you are arguing the other side.",2
790,"420","marijuana-'get high'",2
791,"Chaa","Yes",2
792,"damn skippy","An assertion, usually used with yes or ya to emphasize some point made.",2
793,"fuck buddy","n. A sex partner to whom you have no special attachment. A person you occasionally have sex with who is not your [S.O.] ;; A fuck buddy is similar to a [friend with benefits].",2
794,"homofag","ultra-homosexual. Negative connotation.",2
795,"post","to behave as a post; to stand erect and watc the world go by",2
796,"coin","money; dolla bills",2
797,"bad news bears","a phrase used in response to bad news or situations.",2
798,"sick","to get wild with something",2
799,"sleepin'","To miss out on something because one doesn't realize it's full potential, usually used with the word 'on.'",2
800,"stay","to constantly or continouously do something",2
801,"teabagging","v. To lower one's scrotum into another's mouth.",2
802,"skid mark","n. [Poo poo] stain in the seat of one's underpants.",2
803,"Chill Pill","Relax, it's not that big of a deal.",2
804,"Chnaa","no, negative, not a chance ;; The apposite of 'chaa'",2
805,"titties","The general classification of the female breasts. Generally the size of them.",2
806,"assbandit","someone who annouys the fuck out of everything and or fucks other males",2
807,"fuckstick","someone who is a moron",2
808,"cuntbucket","someone who is annouying",2
809,"mobile homes","Word describing a person, comes from the word 'homey' or 'home-boy', often used towards a person of the 'thug-gangsta' category.",2
810,"run","to force a person to give the user their property.",2
811,"ya-meen","short for 'do you know what I mean?'",2
812,"ten","top-quality. refers to a ten-point scale on which TEN is the highest and ZERO is the lowest. this scale can measure anything ;; sometimes used with 'a,' as in 'A TEN'",2
813,"litso","face. From A Clockwork Orange",2
814,"horrorshow","something spectaculary good or bad",2
815,"viddy","v. to see.",2
816,"glazzies","eyes.",2
817,"slovo","word.",2
818,"rot","mouth",2
819,"slooshy","to hear",2
820,"bling bling","a term for expensive and shiny stuff",2
821,"addy","address",2
822,"skinky","way cool",2
823,"dentist guitar","The kind of guitar your dentist would play. Typically a repetitive, badly played, two chord 'song'",2
824,"howly","A non-derogatory term meaning white person. Often used in Hawaii.",2
825,"Ghetto Birds","The loud helicopters with the search lights; usually found in the ghetto.",2
826,"Ghetto Birds","Chicken headed girls.",2
827,"swine","An officer of the law. Negative connotation.",2
828,"goshed","Intoxicated.",2
829,"playa","someone who is with more than one person at a time or who the intention of going out with someone while dating someone else, someone who has sex with many people",2
830,"yieogie","a teacher that looks like food",2
831,"Wavlato","love directed towards an inanimate object",2
832,"bootinize","v. To kick someone in the genitals, especially a male.",2
833,"bootinization","n. The act of kicking someone in their genitals, especially males.",2
834,"schway","adj. Cool, especially in a futuristic way.",2
835,"near beer","n. Non-alcoholic beer.",2
836,"d'oh","1. Implying that one has said or done something stupid ;; 2. Implying that another has said or done something stupid",2
837,"Beatbagging","Beating off into a bag. Preferably an Albertson's, Rite Aid or Walgreens.",2
838,"Googling","v. To look for information about something using Google.",2
839,"delouse","v. To remove unwanted items from a culinary creation.",2
840,"Fartknocker","A stingy, lowly sort of fellow who blows hot air out of his/her rectum. esp. a boss in a sweat-shop",2
841,"Four-ass","1) The size of one average derriere multiplied by four. ;; 2) Any 20-plus size woman who insists on wearing tight spandex in public because it's 'comfortable'.",2
842,"Fuckarini","An exclamation of pain and/or outrage directed at no-one in particular.",2
843,"Fuckfoot","1) An injured foot.",2
844,"DD","n. Designated Driver. One who abstains from 'partying' so everyone can get home safely.",2
845,"LTR","On [craigslist], an acronym for Long-Term Relationship.",2
846,"booty call","When somebody gives you a ring in the early morning hours so they can get they fuck on.",2
847,"bump-in","n. When you meet someone in a place you didn't expect to see them.",2
848,"craptastic","Not fantastic; pretty crappy.",2
849,"ricockulous","something (an idea, person, object, etc) that is beyond ridiculous",2
850,"shady","suspicious; can also be an activity bordering on criminal",2
851,"shoddy","socially acceptable alternative to 'shitty'",2
852,"sheist/ sheisty","shit/shitty",2
853,"nummers","adj. Good-tasting, yummy.",2
854,"graze","v. To eat someone else's food at their house. It is often implied that the person grazing doesn't really know what they'll find to eat.",2
855,"RSN","Acronym for 'Real Soon Now'. Often used as a sarcastic remark to describe something that's late.",2
856,"jack off","too masturbate, to stroke your penis until it ejaculates",2
857,"twat","the vagina",2
858,"cum slut","a fucking hoe dat loves to slurp down semen, good at giving blow jobs and hella horny for dat kind of shit",2
859,"Thong","An undergarment for use at parties etc. ;; An external garment for use in Music Videos. (see: Britney Spears)",2
860,"paint eating monkey","a monkey who eats paint",2
861,"automagically","adv. Something that happens automatically, but that also has some mysterious, 'magical' element to it. 'Smart' appliances, features, etc. that do intelligent things with less help than you might expect.",2
862,"log watcher","n. One who obsessively watches their logs; one who enjoys the power of seeing what other people are doing at their sites.",2
863,"mixfused","a combination of being mixed up and confused.",2
864,"lallergies","a true to congestion pronunciation of allergies. Often used by those who are under the influence of mucus noses.",2
865,"cyber","n. Short for [cyber sex].",2
866,"Iterate","To say someting, or to explain for the first time",2
867,"can","jail (synonym for [joint])",2
868,"Hey Mister","what a minor does when her or she wants alcohol - approaches people entering the liquor store and asks to pay them to buy some [alkie].",2
869,"boobie faker","n. A man who adds breasts to his physical appearance artificially, e.g. through the use of a bra.",2
870,"ficky-fick","Quick, emotionless sex.",2
871,"tanks","variant of thanks. Often used in situations involving puns.",2
872,"shagadelic","An orgasmic quality inherent in the object, event or person experienced.",2
873,"right on","a response of agreement",2
874,"butt token","Various objects that become lodged between the buttocks. Often lint",2
875,"signage","Visible displays that provide information.",2
876,"arse","English variant of 'ass'",2
877,"preslammed","A car that is loaded with cosmetic upgrades and/or a souped up engine. Usually owned by teenage boys or men in their early 20's.",2
878,"domain snob","A person who insists upon owning a .com domain verses a .tv, .to, etc.",2
879,"ultra-buzz","a feeling beyond a normal buzz but not to the point of drunkeness or being high.",2
880,"boob tube","television. Negative connotation.",2
881,"idiot box","television. Negative connotation.",2
882,"couch potato","One who watches excess amounts of television",2
883,"log hound","synonym of [log watcher].",2
884,"whoopee","To make love.",2
885,"chronic","weed: see [cannibis], [ganja]; also a Dr. Dre album",2
886,"lot lizzard","truckstop hooker",2
887,"man whore","person of the male persuasion who like to indulge in women and/or other men.",2
888,"'tard","Shortened version of 'retard' (someone who is retarded).",2
889,"postal","Gone crazy or insane; irrational. Came into use after a number of workplace shootings by disgruntled U.S. post office workers.",2
890,"nerd","A unattractive, socially clumsy or unstylish individual; or someone who is considered intellectual or 'brainy.'",2
891,"SOC","'Suffers On Closeup' Someone thought to be attractive or cute at a distance, but not after a closer look.",2
892,"zoned","High on something; off in the Ozone layer of the atmosphere.",2
893,"suburban forty","24 oz. bottled iced teas and other oversized non-alcoholic beverages.",2
894,"skanky","Dirty(sexually) ,Used,Tainted,Immoral Leanings and Tendencies. ;; Target is usually female and basically a variation on 'Slutty'",2
895,"Square-Go","A scottish call to fight after alternative means have been exhausted. ;; Basically meaning me and you,let's square up and punch the shit out each other.",2
896,"Frienemy","A 'toxic' person who poses as a friend but subconsciously or consciously wishes you harm.",2
897,"Toxic","Used to describe a person who is tainted by a subconscious malevolence or psychosis that affects the lifes of those who come into contact with them.",2
898,"dilly","(deal-ee) 'whats up' in ghetto terms....",2
899,"PCD","Acronym: Porn CD",2
900,"Huzmo","Huzzie ass motherf*c*er",2
901,"UPI","Un-Identified Party Injury, Mysterious injuries discovered after a a period of intoxication.",2
902,"ACS","Ancient Chinese Secret, Information that is confidential.",2
903,"bombed","to do really poorly on something",2
904,"destroy","to do really well on something - antonym of [bombed]",2
905,"tffs","acronym: THAT's for fuckin' sure",2
906,"circumvent","the opening in front of boxer shorts",2
907,"flabbergasted","appalled over how much weight you have gained",2
908,"assbandit","poo burglar",2
909,"poo chute","Anal sphincter. Where faeces exit the body.",2
910,"arse reamer","One who inserts his penis into an anus. The term is generally reserved for homosexuals.",2
911,"chocolate freeway","The bowel. Specifically with reference to sodomy.",2
912,"chocolate freeway","A common term synonymous with the intestine being a straight path where (brown) faeces is kept, and thus it is called the ''chocolate' freeway'",2
913,"arse jammer","One who inserts his penis into that of another person/animal(s) anus, thus 'jamming' their arse. Generally reserved for homsexual reference.",2
914,"spandulick","Money. Ultimate total slang from the second world war.",2
915,"Pillock","A man who has dropped a major bollock. Not nescessarily a stupid bloke, rather, one who has done a stupid act.",2
916,"Naff","Nothing in a deragatory way.",2
917,"whuff the vape","to smoke a substance (as opposed to other less pleasant methods of injestion)",2
918,"doggy style","Having sex with the woman keel face down and leverage her body with her hands. The man insert his penis from her rear end.",2
919,"FUG","Short for 'Fugly', or 'Fuckin' Ugly'.",2
920,"JC","'Just Chill'",2
921,"Jarjazz","Fantastic",2
922,"singles club","everyone who's single",2
923,"Blitch","Extreme sadness at some joyous ocurrence",2
924,"Blitch","Irritation after swimming in dirty water",2
925,"kick it","relaxin, [chillaxin] ;; kickin' it implies shoes. kick off your shoes",2
926,"the shit","in a group of like items, the one item that is the best is known as 'the shit'",2
927,"pippie","n. A tiny ball of fabric produced by friction over time on a piece of cloth. Most commonly found on old couches, sweaters, flannel, and socks.",2
928,"wunning","v. A cross between walking and running. What old people do instead of jogging or power walking.",2
929,"car hummer","A blow job that occurs in a car.",2
930,"gf","shorthand for girlfriend.",2
931,"woodie","An erection.",2
932,"barf","To throw up.",2
933,"hurl","To forcefully throw up.",2
934,"dilligaf","Do I Look Like I Give A F**k?",2
935,"cluster fuck","A derogatory term used to describe a system or operation that has been totally hosed up by a group of managers who couldn't leave well enough alone.",2
936,"damfino","I'll be damned if I know.",2
937,"FWB","'Friends With Benefits' ;; When two people aren't officially going out but have sex anyway. Compare with [fuck buddy].",2
938,"thankee","a happy thank you.",2
939,"format music","music that sounds similar to other pop music.",2
940,"Rushmore","best movie ever, man.",2
941,"comeback","n. A response to an insult.",2
942,"five by five","Everything's [cool]. Derived from radio terminology.",2
943,"boink","v. To [fuck].",2
944,"bf","Shorthand for boyfriend.",2
945,"fuck fest","A sexual marathon involving two or more people. Generally involves more than one partner.",2
946,"sex stain","A stain appearing on clothing or bed sheets as a result of sexual functions.",2
947,"DINS","Acronym: Double Income, No Sex. Referring to two married, working individuals who do not engage in sexual intercourse.",2
948,"minger","Minger: Minger = someone who smells or looks unclean, or is generally unattractive.",2
949,"study liar","A person who claims to study for exams much less than they actually do.",2
950,"tang","short for [poontang]",2
951,"huevos","balls",2
952,"robo-trip","when someone gets high by drinking a full bottle of robotusion",2
953,"booty","a huge amount of treasure",2
954,"booty","A litle blue sock from the emergency room that covers your bandaged foot",2
955,"rice rocket","A vehicle driven that is generally not meant to go fast, yet has the apperance of being a race-like car. A driver of a rice-rocket is a [rice boy].",2
956,"pooning","the process of one sniffing the opposite/same sex's bike seats for personal excitement/enjoyment",2
957,"freak hole","An orifice used for freaking.",2
958,"whack job","A crazy person.",2
959,"music pimp","One who pushes music on others as though the music is a street whore.",2
960,"getting it on","The act of sexual intercourse.",2
961,"doing it","The act of sexual intercourse.",2
962,"superfine","a level of fine on par with a superhero's strength -- infinitely attractive",2
963,"difficulty","n. Something that is a problem for you.",2
964,"times ten","used to express magnitude",2
965,"barf","the result of throwing up",2
966,"dick around","spending a lot of time doing nothing of any significance. see [poopin' around]",2
967,"log watcher","Someone who constantly keeps his finger on the pulse of the community by watching activity logs.",2
968,"Hizzy","One's place of residence",2
969,"Freeballin","Not wearing any underpants",2
970,"Going Commando","Not wearing any underpants",2
971,"Gat","Gangstas firearm",2
972,"Feces","Material that comes out of ones bum.",2
973,"Puss","The great divide",2
974,"Bum","The thing you go pewpie out of.",2
975,"kp","acronym: kitchen patrol. a responsibility to thoroughly clean the kitchen",2
976,"funk","being in a bad mood",2
977,"bummed","stuck in a [funk]",2
978,"CLM: Career Limiting Move","Something that you do at work, that will get you fired, or end your career very soon.",2
979,"thick","plentiful or busy",2
980,"thick","stupid or daft",2
981,"Stacked","Big-bosomed",2
982,"Sleep","code word for sexual relations between two people",2
983,"Ginormous","Extremely large; bigger than giant and enormous",2
984,"Rear Jockey","one who prefers to have sexual intercourse in the derriere.",2
985,"kill a kitten","v. To masturbate. ;; Originates from a picture which proclaims 'Every time you masturbate, God kills a kitten.'",2
986,"score","to procure illegal materials",2
987,"cluster fuck","military use: a situation where nothing will go right, casaulties will occur, evac will not happen, often engineered by the stupid.",2
988,"A+","Excellent.",2
989,"AM","Early morning or late evening.",2
990,"digging","to perform information reconnaissance using the Internet - to find out information about a person, without his or her knowledge - mostly accomplished with the help of Yahoo, Google and Google Groups. ;; frowned upon because it's a slight invasion of privacy - and because the information isn't coming directly from the person. information recovered during digging can never be exposed to the person.",2
991,"moxy","n. When someone has [guts] or [balls], they have moxy.",2
992,"dun dee","when you had way too many jack and cokes. incapable of rational thought. When you are classified as retarted.",2
993,"sheist/ sheisty","Sparing or scant in giving or spending; stingy.",2
994,"Mac-10","Any member of an American-manufactured family of fully automatic submachineguns known as the Ingram models 10/11. Most come in either the .45 caliber or 9 millimeter variety.",2
995,"nine","Refers to any pistol, usually automatic as opposed to revolver, whose barrel's girth is 9 millimeters.",2
996,"dickpirillo","a shameless self promoter without a clue",2
997,"disco nap","sleeping when ya got something goin' later on that you need to get ready for.",2
998,"suicide bomber","A man wired with explosives that detonates himself in the name of a certain cause.",2
999,"boobage","n. Slang term for cleavage. Refers to volume of breasts.",2
1000,"camel-toe","crotch cleavage, esp. on a woman. The outer lips of female genitalia visible through tight clothing.",2
1001,"foody","One who appreciates good cuisine, or just eats to do damn much.",2
1002,"69","a sexual intercourse position, where thefamale sucks the males's penis and the male licks her vagaina",2
1003,"bleavage","Cleavage of the buttocks, often occuring with females who wear those damned low rider jeans.",2
1004,"game","1. pick up lines ;; 2. skill ;; 3. mojo/sexdrive",2
1005,"ketchup sandwich","when you have no found in the house, its a kind of sandwich you eat when you have only bread",2
1006,"mayonaise sandwich","see [ketchup sandwich]",2
1007,"Muff","A Hairy Vagina ;; See also [word]Muff Diving",2
1008,"Muff Diving","To orally please a [word]Muff ;; To eat out a hairy pussy",2
1009,"Hot Shit","Someone who thinks they are the best",2
1010,"water sports","Sexual activity in which urine is involved. The presence of urine is generally considered erotic for those indulging in the urine related activities.",2
1011,"lurch","huge male person (Addams Family)",2
1012,"Counter Monkey","People who always sit at the counter in a trendy coffee house.",2
1013,"posh","synonym for 'highly unlikely'",2
1014,"tosser","See Wanker.",2
1015,"poofter","One who is unusually fruitful.",2
1016,"frankenraver","frankenraver (n.) person whose raver personality is made up solely of things they saw at the last rave",2
1017,"adultery","A married person sleeping with somebody other then their SO, whether or not the other partner knows about it.",2
1018,"Krod","Hello you idiots, it's a nice way of saying 'dork'",2
1019,"jizz mopper","An occupation consisting of duties requiring one to mop up the ejaculant in a private booth after an erotic entertainment session.",2
1020,"recockulous","More extreme than rediculous. Proceeding to a state of comedic abnormality. Used to describe men under most circumstances...",2
