,Title,Text,Class
1098,hi-def,"The state of being so high , usually on marijuana , that the stoner becomes deaf . Often associated with being so absorbed watching HDTV that everything else is ignored . Inspired by a high deaf kid who gets deafer as he gets higher . ",1
1100,highballin,"To be highly intoxicated on crown royal and ginger ale as well as mass quantities of dank ass marijuana . In other words , you get fucked up in a classy way and do n't 't mind spending the extra cash required to do so . ",1
1113,hippymovement,A result of child hood stress brought on by the cold war and then dissipated almost instantly at the end of the 'war ' leaving an intense feeling of relaxation aided by marijuana ; ; the hippy movement continues because of smaller doses of stress applied by uptight [soccer moms ] who lie to their child about a perfect world then suddenly bitch about bills . ,1
1115,hitionary,"it 's a board game , involving 3-8 players , based on the game [dictionary ] . In [dictionary ] , you try to draw a certain word within a time limit , and without speaking , others are trying to guess it . but in the case of this game , it involves [marijuana ] , and the time limit is how long you can hold the [hit ] of smoke in your lungs . ; ; dictionary is derived from the words 'picture ' and 'dictionary ' ; dictionary is just a playing on the name of the real , but sober game , and instead of 'pic ' its 'hit ' . ",1
1123,hocuspocus,"As implicated by the chronic album in the 20 dollar sac pyramid , it is an alternative term for marijuana , just as is Buddha or n-do . Nonetheless , it can be used as an expression for marijuana of compromised quality , hence having magic-like effects . ",1
1127,hollowpoint,"A fat blunt of marijuana , containing on average over 2.0 grams in substance , with a hollow tip in which a mouth piece/filter is inserted , leaving the head of the blunt empty . ",1
1145,hootyrat,"A marijuana cigarette . A large joint filled with sweet Mary Jane , similar to a spliff . also , offered to as a big fat sooty rat . ",1
1151,housin,"1 : showing obvious dominance in a given situation ; ; 2 : packing a gun ; ; 3 : feeling in which marijuana user comes down from a high and is in a neither high , nor sober mental state . Aka swishahoused ",1
1154,hufflepuffer,"Someone who smokes marijuana . The word is derived j.k . Rowling 's harry potter series , where hufflepuff is one of the four Hogwarts houses , known for producing students who are exceptional in the art of horology . We all know what that means . *wink* it is also an excellent name for a bong . ",1
1155,huffman,"Town of many opportunities in a small community . Friendly little hick town connected only by the lake Houston bridge . ; ; there are no corn fields , but there are cow pastures where an overwhelming abundance of sh rooms are in reach . Our cops smoke weed , our teachers are sluts , our schools are big , our corner store is a drive though , our dollar stores are in walking distance and our parties are outrageous . We 're finally on the map and we 're only gonna get bigger , so watch out for your town , we here to take over nigga ! ! ",1
1172,hydroponicshrooms,They are just like regular [sh rooms ] except way better . What makes them o much better is the fact they are grown like [hydroponic weed ] they will insure a trip while regular sh rooms are hit or miss ,1
1181,igotfiveonit,"Phrase for claiming one 's portion of a sack of marijuana , or hits from the joints rolled from it , typically one quarter of a twenty dollar portion . also , means to have a stake in , or some control of , a situation . ",1
1182,ildar,"Straight , girl loving , drug legalization supporting , cool as he 'll dude ; ; I know my facts , and some other people seem to be confused ; ; older is real the greatest name of a most perfect dude who looooves to party and looooves alcohol , weed , and chicks . ",1
1186,incohebriated,Verb ; 1.to come unto a [hazy ] state of mind ;2.what you become after consuming too much [marijuana ] and [alcohol ] simultaneously .3.heavily sedated .3 . A mixture of incapacitated and incoherent ,1
1191,int3nse,"Int3nse is a word derived from the hip/hop music culture , by the artist known as 'oil Jon ' . oil Jon was going to use the word 'int3nse ' as his 'every-song ' word , but was unable to , as soon as his 'smoking incident ' occurred . oil Jon got high from smoking too much marijuana , he became deaf and stupid , leaving him with the repeated words of wonder : 'what ' , the agreeable word : 'okay ' , and the thrilled word of : 'yeah ' . Other rappers stole his word int3nse , and are starting to use it in current songs , the word meaning 'the best , most intellectual pimp ' , and 'holder of tremendous cock ' . ",1
1192,intergalacticfunkberries,Chronic marijuana buds so sticky icky that when thrown at a large bay window they immediately stick to it . that being the only way to tell if you truly purchased genuine USDA approved intergalactic funk berries . ,1
1195,irishsession,"A marijuana related assemblage where only those bringing their own lighters are allowed . Passing or borrowing lighters is strictly prohibited and can result in an Irish themed ass whooping . Anyone can join , as well - providing their nonchalant about it . ",1
1213,jamaicansteambath,"A Jamaican steam bath is when one or a group of individuals smoke weed within a confined space that contains a substantial amount of moisture such as in a sauna or a closed washroom with the shower on hot . Note that the Jamaican steam bath is a variant of the [hot box ] , wherein the difference is the moisture of the surrounding space reminiscent of the climate in Jamaica . ; ; should not be confused with the word [ Jamaican steam box ] . ; ; the origin of this word does not come from Jamaica , rather it was developed in willow dale , a semi-affluent suburb of the greater Toronto area . A group of individuals attending earl hair secondary between 1998-2003 takes credit . ",1
1215,jamesbong,"From the fires of mt . doom , the 4-foot marijuana smoking tool was forged . Many great meetings with him took place , until his untimely death during a wind storm . Some of his bones were salvaged but could not fill the void in our lungs . He will be missed . ",1
1227,jeaun,"n . ( new Iowan Philadelphia ) 1 . That which things might be 'up in . ' ; ; 2. anything which could be found 'up in' any other thing . ; ; 3. House , crib , pad . ; ; 4 . A marijuana cigarette ; ; 5 . anything , esp. one for which the proper name is either understood or irrelevant . ",1
1236,jerryberries,"( 1990 's , possibly earlier ) ; ; 1 . A type of high-quality marijuana , named in honor of [grateful dead ] front man , [Jerry Garcia ] . ; ; 2. Any high-grade marijuana sold as small [buds ] . ; ; commonly used by [phish ] fans and modern [hippies . ] popular in Vermont . ",1
1237,jerrymaine,"A slang term for [marijuana ] . Originally said to have been made by some dyslexic guy who meant to say [ Mary Jane ] , but ended up saying Mary mane instead . The newly created word has since become the most popular slang for marijuana , and has been respelled to Jerry Maine . ",1
1239,jewbowl,"A bowl of marijuana that has been only partially packed . Typically , many Jews are very stingy with their weed ( along with other things ) , and would like to share as little as possible with others when it comes their turn to pack the bowl . ",1
1245,jiminyjingle,"1 . ( noun ) the magical fairy who brings weed , often mysteriously or without explanation . ; ; 2. (verb ) to jingle the testicles of a man , esp. a gay one , much like one would jingle those of a cricket ( note : it is important to gently but lovingly stroke a cricket 's genitals to maximize the insect 's pleasure ) . ; ; [hand job ] [weed fairy ] [stroke ] [marijuana ] [ball sack ] ",1
1251,johnandyoko,"A slang term for marijuana , namely the pills . The name 'john and Yoko ' obviously refers to the late 1960s radicals [john Lennon ] and [ Yoko Ono ] who were arrested on charges of possession of the narcotic . ",1
1253,johnnysmalls,"( noun ) a hand rolled cigarette containing tobacco and marijuana , a johnny smalls is essentially a spliff rolled with a normal sized Rizal , rather than a king skin . ",1
1258,jonbongjovi,1)the name of my [bong ] . ; ; 2)a comical play on words .surely to make any stoner giggle . ; ; 3)a good way to disguise the fact that you 're going to smoke [weed ] . ,1
1261,jtown,"Jamestown has the same reputation throughout Rhode island . Rich burn outs . Not only do the youth , but most parents smoke pot as well . It is a sweet spot for growing , and also known to be a chill spot for high rides . considering the amount of teens that smoke at ankhs . About 60 % of them come from Jamestown . But weed is n't the only drug around on this gorgeous island , its also been known for a place to trip out . If jamestowners are dry , everyone is dry . If nothing is around , you most likely wo n't see the Jamestown crew out and about either . Nothing happens until herb or LA is found . Their nights consist of getting high or drunk , usually somewhere outside but occasionally at some poor kids house that made the announcement that his/her parents are away .many just sit around seasoning while looking at the ocean , talking about life , and listening to reggae . You can find many j-towners chilled at the east ferry deli after a long night of being fucked up . the extra mart is a great place to stop by when the munchies kick in . vising has become Jamestown 's liquid from the god , considering how much of it is used . Jamestown guys normally consist of skater/surfers with shaggy hair and shitty sneakers , along with the clean- cut stoners . The girls are all mostly the same , mellow , beautiful , ... but grungy as hell . Their attire consists of hippie skirts and lots of hemp - jewelry . Ooh what a world . ",1
1267,junit,The word ' j unit ' is slang for a joint or marijuana cigarette . I ca n't believe i just typed the words ' marijuana cigarette ..... ,1
1269,justblaze,"Not just an expression , a lifestyle . A new surge of the marijuana movement , brought on by the [g-block]which is comprehended by those with grounded thought . The 'just blaze ' pro marijuana sentiment will saturate and quickly overtake American society . ",1
1275,kaging,"The lousy feeling you felt after experiencing the following : ; ; - you 're caught half naked on a video camera . ; ; -you see your lover in bed with your best friend . ; ; -you forgot to close the door on an intimate moment with your lover . ; ; -you`re caught in bed with your lover` s best friend . ; ; -you took the best possible dose of that weed that you did n't realize it was not for free . ; ; -duh ! Everything you felt right now , tell me about it ! ! ! ",1
1277,kaksaa,"Means shit ... ; ; also can be used in the place of the word idiot ... ; ; stop acting like a kaksaaaa , asshole ... ; ; suppose u roll up a screwed up weed joint then u would call it a Kansas joint .... ",1
1285,kayb,Short for kind bud . A suburban type of weed smoked only by north Olmsted gangstas . Makes them feel like they are ghetto so they buy and or smoke it every day . The high usually lasts 2 min and is accompanied by a large painful headache . Usually the weed causes the persons to become gay and have butt sex with each other . Afterwards they wake up and feel nutting but anal pain . In short Kay b is for ambercrombie gangsters only so any real niggas should n't touch it cut it 'll indeed kill them . ,1
1291,keifbox,"A small wooden box , decided with a silkscreen used to separate [Kay ] from marijuana buds . ",1
1292,kellbowl,"A very small bowl packed with one 's own weed to save their weed from the lungs of others . ; ; a huge ass bowl packed when , using someone else 's weed . ; ; the opposite of a [vanderbowl ] . ",1
1299,kiefersutherlands,"The combination of smoking a 'Kaiser ' bowl ( smoking a weed bowl topped with Kiev. )and taking a shot of various alcohols in the process and the blowing out the smoke . Shooting 'Kaiser Sutherland ' pays tribute to the great jack Bauer of 24 and encompasses all the necessary ingredients to get mother fucking cranked . Kaiser Sutherland are done in 'sets ' of ' 3' , the necessary amount to achieve a comfortable state of 'frankness ' ( and i have no medical proof to back that , just experience ) ; ; enjoy the graveyard ! ",1
1324,krippy,"The highest grade of marijuana . This term originated in the southern united states , possibly Florida . Synonyms include [kine bud ] in new York slang , [bug] , ' or [nuggets ] , ( referring to the tendency of marijuana with a high THC level to be sticky , which causes it to clump together into [nuggets ] ) and [skunk bud ] or [skunk weed ] ( due to the potent odor ) . ; ; some experts estimate that there may be as many as 1,000 different breeds of marijuana that could be classified as [drippy ] , although some better known ones include [white widow ] , [northern lights ] , [new York white ] , [Acapulco gold ] , [ Jamaican red ] , [ India ] , and [Amsterdam ] . ; ; lower quality grades of marijuana , in descending order , would include [shwuggets ] ( something between [swag] and [nuggets ] ) [commercial ] or mid-grade weed , [swag] ( often dryer and containing more stalks and seeds than [drippy ] or [kine ] ) and , at the bottom of the chart , [dirt weed ] or [headache medicine ] . ",1
1329,kryp,Originated in Miami the word 'kryp ' is short for krypton ite aka fire weed . ,1
1331,krypto,"usually referred to as high quality marijuana in south Florida ( not sure if used in other locations )its better than legs or mid . usually smoked out of pieces ( pipes ) , joints , blunts , bongs , or vaporizers . Sometimes baked into brownies , cookies , act for oral consumption but that is usually done with less expensive weed because the high you get from eating it is strong but after a certain point using more weed is a waste because you ca n't get any higher . You can usually get an eighth for $ 50 or a half eighth for $ 25 . ",1
1332,kryptochroniconolite,"Some fucked up name for weed , it 's better than the shit you got last week . The shit you got last week ai n't nothing . ",1
1340,kyrptochronicunalight,"Extra strong weed ; will have you sitting on the stove for three hours staring at the fridgedator ; but beware , may cause you to eat all your baby 's cereal and clean shit that do n't need cleaning ; insurgents may come in yo house and steal the cocoa puffs off top of the fridgedator ",1
1342,lacanada,"Well , what is there to say ? There is n't anything to do , for one . Nobody between the ages of eighteen and fourth lives here . That 's because the only reason that anybody would ever consider moving to la Canada is because the schools are second best in California behind San Marine . We would be first , but they are like 90 percent Asian . ; ; the only good things in the city are imports , George 's , sport chalet , and truly ridiculous amounts of Smirnoff and weed ( if you like that kind of thing ) . It 's a really good thing that Pasadena is n't too far away . ",1
1346,lambsbread,"A specific high-grade marijuana strain originating in Jamaica ... was said to be bob Marley 's favorite strain ... a skunk variety , finishing in 8-10 was .very few people have the real deal ...maybe a handful .not available anywhere that is known ...the taste and smell are unmistakable , not like any other skunk variety out there ...does not even smell similar , more like a breeze of fresh air...in the top five unique ( best ) strains on the planet , and one of the least known ",1
1350,lanena,"Puerto can term for marijuana . When it would sound awkward in a sentence , it 's shortened to 'Nina . ' a number of verbal expressions are made up around its existence , such as the following : ; ; 'blowing la Nina ' - smoking weed . ; ; 'getting la Nina through ' or 'doing la Nina ' - smuggling weed . ",1
1361,lebnin,a . ) a terrible experience . ; ; b . )a horrid state of boredom . ; ; c. ) a small town in central Kentucky known for its abundant supply of marijuana . ,1
1363,leefs,"1)a past tense word referring to marijuana ; ; 2)a methodology and belief in a system of peace , a.k .a . the way of the Lee where violence is opposed and flight is the believers primary recourse . ; ; 3)a rogue in the world of war craft game , and the creator of the 17/34/0 build , widely known for his bizarre twisting nether OTC chat and under raid leadership ",1
1382,lostcoast,"A name for [California ] north coast , running from the northern part of Mendocino county , through [ Humboldt ] county , and up into Del north county . It 's full of the legendary coastal redwoods and home to some of the neatest towns you 'll never see . also , well-known for blown glass and [weed ] . ; ; the coast all along this section is very steep and rocky - think bodega bay , only more so . highway 1 ( the coastal highway in the rest of Cali ) merges with 101 ( which runs several miles inland ) at the south end of the lost coast , because the highway builders could n't even pave a road along this stretch of desolate crags , which is why it 's called 'lost . ' I do n't recommend swimming out here , but if you 're an artist , it is one of the most inspiring places in the world . ; ; major cities are crescent city , arcade , eureka , and fort Bragg . If you feel like driving over a mountain or two on a winding , two-lane road to get down to the coast , shelter cove is a beautiful destination . ",1
1390,luckystrike,An urban legend surrounding lucky strike is that one in every hundred cigarettes is actually a marijuana joint . Another version is that this was true for the packs supplied to u .s . soldiers during world war ii . ,1
1395,lutharjik,"A feeling of lethargy brought on by the use of drugs such as codeine , weed , alcohol , or occasionally sh rooms . ; ; other drugs probably do it as well , but those are a defiant yes . ; ; the word comes from the English 'lethargic ' which means 'lazy , ' or 'tired , ' or 'indifferent ' ",1
1396,luxurystick,"Marijuana that is rolled into a tobacco paper and then punctured with a pin opposite the lit end and left to burn naturally , like incense . ",1
1414,malverde,"The patron saint of drug dealers . Jesus malverde was a Mexican robin hood who took from the rich and gave to the poor until he was killed by the police in 1909 . Mexican drug traffickers constructed a shrine above his grave in culiacan , where they worship frequently . It is conveniently located in one of the most frequent marijuana and opium trafficking centers in Mexico . Many drug dealers and distributors buy all sorts of malverde memorabilia ( shirts , statues , figurines ) to protect themselves from the police . ( seen in a man apart ) ",1
1416,mansizedhit,"1 ) the inhalation of a large amount of marijuana smoke ; a lung shredding , gut wrenching , and/or mind blowing toke ",1
1417,manthis,"The process of getting absolutely shattered , with no signs of sobriety . The process involves a combination of marijuana and alcohol . ",1
1418,manyadoobago,"Synonymous to 'ages ago ' or 'so long ago I 've forgotten' , but mainly refers to memory items that have been misplaced due to excessive marijuana use . ",1
1420,mapleridge,"A method of passing a joint between two people . It is performed when the marijuana cigarette is small and thus it must be past by pressing the people 's two thumbs together . After the small joint is past , the passed says 'maple ridge ' . This is inspired by the rural western Canadian town of maple ridge where there are massive amounts of grow-ops . ",1
1432,marley,1 . n . a small reinforcement placed in the base of a joint usually made of thick paper or light cardboard . Marijuana smokers usually tear a small piece of paper from their package of rolling papers to create a Marley . This is a typical practice for many Europeans . ,1
1438,mashville,"Nashville is a state of mind achieved at the end of a Saturday night when even simple thoughts do not make sense as 2 much e , speed , coke and weed have destroyed the thought process . ",1
1471,microscalebho,"micro scale who refers to a small scale process of preparing butane honey oil , a type of marijuana extract made by passing liquid butane through a tube containing finely ground marijuana . micro scale who uses the same basic method as larger scale extraction , but only prepares enough for a few people to get high from at a time . Plastic Bic pen tubes are common devices for the extraction , holding ~1g of marijuana at a time . The small amount of butane used makes it safe to perform inside though care must still be taken to avoid open flames and sparks . Other advantages are that it takes only a few minutes to prepare and only requires a small amount of weed at a time . ; ; the two main ways of consuming the product are to extract directly onto some other marijuana to make super potent marijuana or to extract into a foil dish or light bulb vaporizer from which the who can be vaporized . When the latter method is used , little odor is produced and higher efficiency is attained since the product vaporizes rapidly enough that little THC is broken down . ",1
1475,midjoint,(origin : midget+joint ) ; ; 1 . N - a joint rolled with small-sized rolling paper ; ; 2. N - a king-size joint rolled with considerably less than the standard amount of marijuana recommended for that size of paper . ( approx . 1g ) ,1
1476,mientien,It is a code word used when a group of individuals who smoke marijuana want to do so at any particular moment but there are others around whom do not find it acceptable . ,1
1481,millvalley,"Mill valley is the home of many old hippies and yuppies . They will send their kids to tam high , were the kids will get washed at lunch , hang out outside of pearl 's or Stefan 's , and utter words such as [nutty ] or [bomb ] . No, not as in that is the bomb ! ( so nineties ) but as in , 'she is bomb as fuck . ' yep , we 've dropped 'the ' and now its just so much more current .also , mill valley is home to SUV 's sporting 'keep Tahoe blue ' stickers and rich kids who complain and smoke weed to 'take away the pain' yep , the pain of having a $ 40/week allowance and parents who will gladly smoke with them . Oh , and the vacation home in lake Tahoe sucks too . Yes , full of skinny , gorgeous girls and hot dads , too bad its all just one big oxymoron . ",1
1483,mississauga,"Pronounced ( me - see - show - gahahahahah ) . ; ; ( 1 ) the armpit of Toronto . ; ; ( 2 ) home of the biggest slut in Canada (university of Toronto campus ) . ; ; ( 3 ) pointless 2 hour commute into bum-fuck nowhere . ; ; ( 4 ) where emo kids are born . ; ; ( 5 ) see [nature reserve ] ; ; ( 6 ) [void ] ; ; ( 7 ) marijuana and alcohol are used to prevent [suicidal ] tendencies . ; ; ( 8 ) neo-nazis Canadian home base . ; ; ( 9 ) where rapists run wild looking for 4 to 40 year old things ( bitches , men , sheep , goats , deer (especially ) , skunks ) between 10 a.m. and 4 p.m. ",1
1492,monk-ey,"A hand-rolled filtered marijuana blunt as only four to six hits remain . The blunt becomes short and stout , resembling a back shot of a druid monk with a Grey afro-puff . ( also pronounced 'monk-hey ' ) ",1
1494,monkeypaw,"Marijuana that is laced with a powerful , unknown substance . It endows the individual with abilities such as , being able to consume large amounts of multiple shots of varied and extremely high quality liquor . As well , Sylvester Stallone movies can be viewed while in this state . ",1
1498,mossman,"Moss man was a soulful dude , a good friend and valuable ally to he-man . His shaggy mane of green moss was perfect camouflage in evergreen forest , where he was part forest ranger , part marijuana cultivator ( he called it 'hemp ' in the television show ) , and an ever-vigilant scout warning he-man of skeleton 's encroachments onto the forest . He is also thought to be brothers with Eastman , who unfortunately lacks his love of nature , reggae music and peace . ; ; today , ecologically-conscious and outdoor adventure-y black men with green skin and moss like hair are often referred to as 'moss men . ' ",1
1500,motorcycleroadracers,"Participants in the sport and art of [motorcycle road racing ] . Contrary to popular opinion , most are not reckless and do not have a [death wish ] , but rather tend to be methodical , analytical and reasonably cautious . Motorcycle road racing doles out severe physical punishment to those who ride beyond their abilities , and so reckless tendencies are weeded out in short order . Having said that , it must also be noted that all motorcycle road racers share an insatiable and inexplicable [need for speed ] . ",1
1511,muggets,"First diagnosed by Aeschylus , nuggets is a sever mental disorder thought to be caused by listening to dodgy techno and smoking vast quantities of second-rate marijuana . ; ; those in the early stages will frequently bring the word nuggets into everyday conversation , until finally losing all other vocabulary and doomed to a life of saying only nuggets . ",1
1521,muzl,A blunt rolled with such perfection and meticulous care that you would think the marijuana gods rolled it themselves . Especially known for its gift-wrapped tip and ultra-thick ends . Sometimes a mud l can sustain its puff ability for upwards of 35 minutes . ,1
1524,mysticnightsofthecobra,"A drunken terrorist organization located in the [east bay ] , ca . ROTC will smoke all your weed and can ruin any party and/or hotel room . In 2006 a study by the university of California found that the mystic nights of the cobra are directly or indirectly responsible for approximately 1.16 % of all cases of fetal alcohol syndrome statewide . ",1
1525,naca,"' Partially derived from the word 'knocker', and almost acts as a possible substitution for 'nigger ' but takes on a unique meaning that can only be understood by a 'NASA ' himself ; ; 1 . A real good buddy , or friend , who never lets you down . ; ; 2. A member of a tight group of friends that play it cool , and always know how to make things interesting . ' -vile scamp ; ; in addition : ; ; a NASA will always share weed with another NASA , no matter how low their stash . ",1
1528,nambo,"Stems from the word 'hammer ' ; ; Rambo means a hammer in a kick ass ride ; the ride usually attained by getting their kids to sell their grow op weed to other kids at school . A Rambo will have a dope ass ride ; however when jumping out of their sums , you will see buddy having a terrible sense of fashion . A Rambo will usually answer 'small ...maybe medium ' when the salesperson ask what size Nike show they want . ",1
1534,nasalbucket,"A nasal bucket refers to a [bucket bong ] (aka [gravity bong ] ) used for inhaling [THC] , but through the nostrils . This is perhaps the most potent form of marijuana inhalation . Because of this , people often make bets , where the loser must take a nasal bucket . If you are willing to wager a nasal bucket that you are right , you are said to be nasal sure . ",1
1536,nebraskano-buzz,Weak ass weed that 's grown outside and sells for $ 25 a fucking quarter oz . that 's filled with compressed seedy stringy shit that tastes even worse than it smells and takes at least 2 fat blunts ( 1.5 g 's per blunt ) just to get a 30-minute high which is no more than a fucking headache . Real talk this shit is worse than schwa ,1
1540,negroslovakian,Anyone who uses this word is a fat ass drunken slob that saves all there money up for Burnett 's vodka and mooches off of there friends weed for years . People who use this word should be dumb ass poor sunken ugly niggers but they are born into nice family and have well offed and cool parents that should believe that there son is a fucking failure . ,1
1541,neighborafterneighbor,"Marijuana slang : ; ; when the word 'neighbor ' is used as a reservation for the second hit of a joint , another person in the circle can optionally call 'neighbor after neighbor', which guarantees him or her the third hit . Some circles even allow 'neighbor after neighbor ' . This practice can result in very impractical , convoluted rotations which are usually forgotten about halfway through the joint . ; ; many circles do not honor 'neighbor after neighbor ' and it usually has to be argued for . But , if smoking in a large group of people it 's the best way to get a quicker turn if you forget to call neighbor . ; ; some smokers opt out of the whole 'neighbor ' system and instead adhere fanatically to bob Marley 's advice 'pass the Dutch to the left-hand side ' . These people are soulless robots with no imagination . ",1
1544,newarkde,"Delaware ? Newark is a small cluster of houses with a huge college problem . With 1 McDonald in a 10-mile radius , you should get the picture . Besides going and 'hanging out ' on main street , there 's nothing to do . and the only thing to do on main st is buy etc and shitty marijuana . Delaware does n't have any good drugs ... neither does Newark . ; ; Newark is also home to the university of Delaware . also , known as the 'party college ' . Freshman walk around every day of the week looking for parties to attend , and cheat their way through class . Note : if you 're a girl ... always make sure you have extra condoms on hand . ",1
1550,nickin,"Adjective . ; ; to consume a 'nick ' of marijuana through means of smoking . It has become popular through youthful smokers because of the strange disappearance of nickel bags , dealers have stopped selling these ( which are the cheapest bags they usually sell ) in order to make more of a profit . Recently dealers have started only because it is more convenient for their customers . ; ; nicks : five pace bag( $ 5 ) ; ; dime : ten pace bags ( $ 10 ) ; ; dub : twenty pace bags ( $ 20 ) ",1
1554,nigew,"1.possessing the ill qualities of both a 'nigger ' and a 'jew . ' ( slang , insult ) ; ; 2.someone who does not pass the marijuana cigarette speedily enough .(slang , drug related ) ; ; 3.Shane decries ( Shane decries , up-and-coming dirty south rap star , claimed to be a 'Nigel ' by his many foes ) ",1
1555,niggitynug,Alliterative slang for a highly potent bug ( or any amount )of marijuana . The phrase is used in describing the [dankest ] and was developed as an alternative for the commonly used [dignity dank ] . The term is especially common among those who are really high and feel the need to imitate ghetto slang . ,1
1565,noppity,"A plural form of the word 'tops ' which means 'yeah ' , 'sweet ' or 'josh shut the up ' . uppity can be translated as a term such as 'shabby ' or 'snooping ' . It can mean 'crazy , 'cool ' or even 'holy shit that was some good weed ' ",1
1570,northside,"A group of immature ghetto - like gang that likes weed , marijuana , sex , and swear words or vulgar language . See north side play , east side . ",1
1571,northvancouver,"North Vancouver is a mix of industrial , residential and commercial area 's . In general poorer people live closer to the water , where the industry and railroads are present . Mondale avenue is the main drag where there 's many poor quality restaurants and small businesses . On east 15th street Dr. Pollock circumcises the local babies , while a few blocks away the well-heeled Christian youth study the bible at Sta . Owning a 3 series BMW with an 'n' is the greatest symbol of status in north Vancouver . Unfortunately the vast majority of such people are foreigners who do n't give a shit about our country . At the local gym 's there 's dozen 's of Iran 's who form their own isolated cliques . On the street 's there 's a variety of local 's and poorer outsourced workers . Parent 's usually prefer rearing their young here as opposed to surrey or Richmond . North Vancouver children in the upper echelons of grouse mountain rarely encounter domestic violence or hard drugs , as is the norms across the iron workers bridge . North vancouverite 's generally have inner longings of living in the British properties , but are unable to afford the switch . In summary , north Vancouver is a community about lousy transit , large and exclusive Asian and Iranian clique 's and wimpy children who live a sheltered existence . It is highly advised for newcomer 's to live as far away from the water as possible . The waterfront is known for aboriginal drunkenness , suburban single parent raised youth , whom ride the buses and create a micky-mouse lifestyle of rap and punk music , are unable to afford private transportation due to smoking and marijuana usage , they create a hostile environment outside large establishments . The lack of bus service and commercial buildings makes moving up the hill common sense for educated people . Expect to have your vehicle vandalized if you park in suspect neighborhoods . It should also be noted that there are many foreign drivers with Toyota 's with tissue boxes in the rear . These drivers are easily distracted and often fail to see pedestrians or other cars . North Vancouver is devoid of any clubs , which is part of the problematic environment for many of the ghetto youth 's . Living in north Vancouver is a mistake unless you move right up the mountain . Otherwise , west Vancouver and lions bay are preferable to individuals who prefer to live with the creme de la creme . ; ; north Vancouver kid 's have no balls compared to Halley kids . In reality most of them only have stuffy noses and soiled underpants . ",1
1572,nosehit,"The smoking of the last bit of a marijuana cigarette through inhalation by nose when the joint is too small to hit by mouth without burning one 's lips . This is usually done when the joint is on a roach clip and there is no pipe available to place it in , and the quantity of marijuana available at the time is so limited that every crumb counts . ",1
1573,nosie,"When your marijuana cigarette becomes to short to hold to your ; ; lips , attach it to a [roach ] clip . Then , hold it up to your nose and breath in through the nostrils . ",1
1589,nungies,A code word for cones . Used to alert only the people you want to share your marijuana with while all the other free loading cunts can fuck off and get their own . ,1
1595,o.p.,"Stands for original pirate . These are the elites of the gangsta pirates , who cruise the oceans with gas in hand , searching for [booty ] . The most famous gangsta pirate set is the pop ( pirates of the pacific ) . They are headed by o.p . captain Morgan and o.p . big pirate . They have been mostly interested in getting drunk and high , but as long as they have a designated sailor , they will control the rum and marijuana trade of the pacific ocean . o.p . for life ! ",1
1613,oprah,"A daytime talk-show hosted by the one and only Oprah . The show can be easily summed up as a very annoying , very repetitive show talking endlessly about feelings , drug abuse , and talking to your kids about their feelings so they do n't abuse drugs . Even though the show is a never ending supply of stupidity at its finest , one must admit that Oprah weeds much power in the lives of America 's soccer moms . ",1
1617,oreogasm,"An intense feeling of satisfaction in the mouth from eating an Oreo cookie after inducing marijuana . Similar sensation to having an orgasm without having any type of sexual contact . Symptoms of an orgasm include momentary blindness , loss of balance ( if standing ) , and fatigue . ",1
1619,otte,( n . ) a victim of watching bill and ted 's excellent adventure to the point of emulating said behaviors and actions . Individuals afflicted with said condition have often partaken in excessive marijuana and alcohol use during the early 1990s . Whippets are a possibility as well . ,1
1624,ozium,Brand name for an air sanitizing spray that completely obliterates the smell of marijuana smoke . ,1
1643,panthercreekhigh,"The only high school in wake county that is basically a middle school-- but with more drama . Everyone talks shit about each other . There are no seniors to put the outspoken , half retarded freshmen in their place . The principal makes strict rules , we ca n't put up posters on the wall , and you ca n't kiss your boyfriend in the hall . Everyone and their mother smokes weed . Everyone hates ms . ray . We are a collection of underclassmen from all the high schools in this area of wake county ... and anyone who is a junior now knows this school really blows . ; ; and WTO , why the hell is our mascot a cat amount when we 're panther creek ? ",1
1651,patchoulioil,"Hippie perfume . ; ; an oil worn as perfume by dirty hippies in lieu of showering or bathing in any way . Used to mask the scent of marijuana and week old body odor , but usually it merely mixes with the scent to form a new , BO/patchouli combo that can repulse even those who are olfactorally challenged , except for hippies , who love it . ",1
1657,pearlsak,Bad ass weed that 'll give you a gooooooooooood trip . Even better with homier just chilling . This bud is more crystallized than northern lights . Not blunt shit ,1
1660,peece,"A farewell remark ; most commonly used when exited a crib room or event . This word can be used in mid sentence of another individual to note that he/she is leaving . Correct pronunciation cites that the vowels be sounded longer , as if hesitating on the es for a brief moment . ; ; a term for smoking marijuana . ; ; an actual piece . A device used for smoking pot . ; ; a common feeling after a smoking session . When you are pretty much peeled out of your mind from DAT free ! ; ; just about every other word out of the mouth of Kevin Cornell . ",1
1667,perma-grin,"An automatic and irremovable smile that appears on the face of people who are thoroughly intoxicated with some narcotic ; usually marijuana , hashish , mushrooms , or LSD. Can be found in other cases such as on television morning news anchors , beauty pageant contestants , pop queens , and mental patients . ",1
1671,peupty,"Noun , verb , adjective ; ; 1 . Indefinable word that can be used in place of any other word , generally referred to in one of the two following forms ... ; ; 2. A high-powered rainbow speckled blotter acid , or ; ; 3. Any potency of marijuana or the act of smoking said marijuana ; ; 4 . Or in front of the word pant ",1
